Journal Title,Publisher,Field of Research Code,Field of Research,Rating Group,Rating order,ISSN,ISSN Online,Website
Australian Tax Review,Thomson Reuters,180125, Taxation,A,2,0311-094X,,
eJournal of Tax Research,Australian School of Taxation and Business Law,180125, Taxation,A,2,1448-2398,,
Journal of the American Taxation Association,American Accounting Association,180125, Taxation,A,2,0198-9073,1558-8017,http://aaajournals.org/loi/atax
National Tax Journal,National Tax Association,180125, Taxation,A,2,0028-0283,1944-7477,
New Zealand Journal of Taxation Law and Policy,Thomson Reuters,180125, Taxation,A,2,1322-4417,,http://www.thomsonreuters.co.nz/new-zealand-journal-of-taxation-law-and-policy/productdetail/121315
Tax Law Review,New York University School of Law,180125, Taxation,A,2,0040-0041,,http://www.law.nyu.edu/tax/taxlawreview
The Florida Tax Review,University of Florida Press,180125, Taxation,A,2,1066-3487,,
Virginia Tax Review,University of Virginia School of Law,180125, Taxation,A,2,0735-9004,,
Adelaide Law Review,University of Adelaide,180105,Law,A,2,0065-1915,,
American Business Law Journal,Wiley-Blackwell Publishing,180105,Law,A,2,0002-7766,1744-1714,
American Journal of Comparative Law,Oxford University Press,180105,Law,A,2,0002-919X,2326-9197,
Anti Trust Law Journal,American Bar Association,180105,Law,A,2,0003-6056,,
Australian and New Zealand Journal of Criminology,Sage Publications,180105,Law,A,2,0004-8658,1837-9273,
Australian Bar Review,LexisNexis,180105,Law,A,2,0814-8589,,
Australian Business Law Review,Thomson Reuters,180105,Law,A,2,0310-1053,,
Australian Journal of Corporate Law,LexisNexis,180105,Law,A,2,1037-4124,,
Australian Journal of Labour Law,LexisNexis,180105,Law,A,2,1030-7222,,
Australian Law Journal,Thomson Reuters,180105,Law,A,2,0004-9611,,
Berkeley Technology Law Journal,University of California Berkeley School of Law,180105,Law,A,2,1086-3818,,
Canadian Business Law Journal,Canada Law Book,180105,Law,A,2,0319-3322,,
Capital Markets Law Journal,Oxford University Press,180105,Law,A,2,1750-7219,1750-7227,
Civil Justice Quarterly,Sweet & Maxwell,180105,Law,A,2,0261-9261,,
Columbia Business Law Review,Columbia Business Law Review,180105,Law,A,2,0898-0721,1930-7934,
Columbia Journal of Asian Law,Columbia Law School,180105,Law,A,2,1094-8449,2373-0498,
Columbia Journal of Law and the Arts,Columbia University,180105,Law,A,2,1544-4848,,
Columbia Journal of Transnational Law,Columbia Society of International Law,180105,Law,A,2,0010-1931,2159-1814,
Company and Securities Law Journal,Thomson Reuters,180105,Law,A,2,0729-2775,,
Comparative Labor Law and Policy Journal,University of Illinois Press,180105,Law,A,2,1095-6654,,
Competition and Consumer Law Journal,LexisNexis,180105,Law,A,2,1039-5598,,
Current Legal Problems,Oxford University Press,180105,Law,A,2,0070-1998,,
Dalhousie Law Journal,Dalhousie University Faculty of Law,180105,Law,A,2,0317-1663,,
Deakin Law Review,Deakin University,180105,Law,A,2,1835-9264,,
Delaware Journal of Corporate Law,Delaware Law School of Widener College,180105,Law,A,2,0364-9490,1943-7331,
Duke Journal of Comparative and International Law,Duke University School of Law,180105,Law,A,2,1053-6736,2328-9708,http://scholarship.law.duke.edu/djcil/
European Competition Law Review,Sweet & Maxwell,180105,Law,A,2,0144-3054,,http://www.sweetandmaxwell.co.uk/catalogue/productdetails.aspx?recordid=455&productid=7051
European Intellectual Property Review,Sweet & Maxwell,180105,Law,A,2,0142-0461,1749-5083,http://www.sweetandmaxwell.co.uk/Catalogue/ProductDetails.aspx?recordid=460
European Journal of International Law,Oxford University Press,180105,Law,A,2,0938-5428,1464-3596,http://ejil.oxfordjournals.org/
European Law Review,Sweet & Maxwell,180105,Law,A,2,0307-5400,,http://www.sweetandmaxwell.co.uk/catalogue/productdetails.aspx?recordid=427&productid=6968
Harvard Environmental Law Review,Harvard Environmental Law Review,180105,Law,A,2,0147-8257,,http://www.heinonline.org/
Harvard International Law Journal,Harvard University Press,180105,Law,A,2,0017-8063,2153-2494,
Harvard Journal of Law and Public Policy,Harvard Society for Law and Public Policy,180105,Law,A,2,0193-4872,2374-6572,
Harvard Journal of Law and Technology,Harvard University Press,180105,Law,A,2,0897-3393,2153-263X,
Hong Kong Law Journal,Thomson Reuters,180105,Law,A,2,0378-0600,,http://www.law.hku.hk/hklj/index.php
IIC International Review of Intellectual Property and Competition Law,Springer International Publishing,180105,Law,A,2,0018-9855,2195-0237,
Industrial Law Journal,Oxford University Press,180105,Law,A,2,0305-9332,1464-3669,http://ilj.oxfordjournals.org/
Insolvency Law Journal,Thomson Reuters,180105,Law,A,2,1039-3293,,http://legalonline.thomson.com.au/jour/
Insurance Law Journal,LexisNexis,180105,Law,A,2,1030-2379,,http://www.lexisnexis.com/au/legal/
Intellectual Property Journal,HAB Press Limited,180105,Law,A,2,0824-7064,,
International and Comparative Corporate Law Journal,Kluwer Law International,180105,Law,A,2,1388-7084,1875-8290,http://www.cmppublishing.com/
International Insurance Law Review,Thomson Reuters,180105,Law,A,2,0968-2090,,
International Journal of Law and Information Technology,Oxford University Press,180105,Law,A,2,0967-0769,1464-3693,http://ijlit.oxfordjournals.org/
Journal of Air Law and Commerce,Southern Methodist University,180105,Law,A,2,0021-8642,,http://www.heinonline.org/
Journal of Banking and Finance - Law and Practice,Thomson Reuters,180105,Law,A,2,1034-3040,,http://sites.thomsonreuters.com.au/journals/category/journal-of-banking-and-finance-law-and-practice/
Journal of Business Law,Sweet & Maxwell,180105,Law,A,2,0021-9460,,http://www.sweetandmaxwell.co.uk/catalogue/productdetails.aspx?recordid=476
Journal of Contract Law,LexisNexis,180105,Law,A,2,1030-7230,,
Journal of Corporate Law Studies,Taylor & Francis Online,180105,Law,A,2,1473-5970,1757-8426,http://www.tandfonline.com/loi/rcls20#.V3xJ-aKMz3U
Journal of International Economic Law,Oxford University Press,180105,Law,A,2,1369-3034,1464-3758,http://jiel.oxfordjournals.org
Journal of Maritime Law and Commerce,Jefferson Law Book Company of Baltimore,180105,Law,A,2,0022-2410,,
Journal of World Investment and Trade,Brill,180105,Law,A,2,1660-7112,2211-9000,
Law and Policy,Wiley-Blackwell Publishing,180105,Law,A,2,0265-8240,1467-9930,
Legal Issues of Economic Integration,Kluwer Law International,180105,Law,A,2,1566-6573,0377-0915,http://www.kluwerlawonline.com/
Lloyd's Maritime and Commercial Law Quarterly,Informa Law,180105,Law,A,2,0306-2945,,http://www.i-law.com/
Marine Policy,Elsevier,180105,Law,A,2,0308-597X,1872-9460,http://www.journals.elsevier.com/marine-policy
Melbourne Journal of International Law,The University of Melbourne,180105,Law,A,2,1444-8602,1444-8610,http://www.austlii.edu.au/au/journals/MelbJIL/
Monash University Law Review,Monash University,180105,Law,A,2,0311-3140,,http://www.heinonline.org/
New Zealand Universities Law Review,Thomson Reuters,180105,Law,A,2,0549-0618,,
Oregon Law Review,University of Oregon,180105,Law,A,2,0196-2043,,http://www.heinonline.org/
Osgoode Hall Law Journal,Osgoode Hall Law School of York University,180105,Law,A,2,0030-6185,,http://digitalcommons.osgoode.yorku.ca/ohlj/
Oxford Journal of Legal Studies,Oxford University Press,180105,Law,A,2,0143-6503,1464-3820,http://ojls.oxfordjournals.org/
Public Law: the constitutional and administrative law of the Commonwealth,Sweet & Maxwell,180105,Law,A,2,0033-3565,,http://www.sweetandmaxwell.co.uk/Catalogue/ProductDetails.aspx?recordid=469
Regulation and Governance,Wiley-Blackwell Publishing,180105,Law,A,2,,1748-5991,
Restitution Law Review,Marenex Press,180105,Law,A,2,1351-170X,,
Singapore Journal of Legal Studies,National University of Singapore,180105,Law,A,2,0218-2173,,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=0218-2173
Stanford Journal of International Law,Stanford University Press,180105,Law,A,2,0731-5082,,
"Stanford Journal of Law, Business and Finance",Stanford University Press,180105,Law,A,2,1078-8794,,
Statute Law Review,Oxford University Press,180105,Law,A,2,0144-3593,1464-3863,http://slr.oxfordjournals.org/
Texas International Law Journal,University of Texas School of Law,180105,Law,A,2,0163-7479,,https://law.utexas.edu/publications/journals/texas-international-law-journal/
The Business Lawyer,American Bar Association,180105,Law,A,2,0007-6899,,http://www.americanbar.org/publications/the_business_lawyer.html
Tort Law Review,Thomson Reuters,180105,Law,A,2,1039-3285,,http://sites.thomsonreuters.com.au/journals/category/tort-law-review/
Torts Law Journal,LexisNexis,180105,Law,A,2,1038-5967,,
Tulane Maritime Law Journal,Tulane University Law School,180105,Law,A,2,1048-3748,,http://www.tulanemaritimejournal.org
University of New South Wales Law Journal,University of New South Wales,180105,Law,A,2,0313-0096,,http://www.unswlawjournal.unsw.edu.au/
University of Toronto Law Journal,University of Toronto Press,180105,Law,A,2,0042-0220,1710-1174,https://www.utpjournals.com/University-of-Toronto-Law-Journal.html
Applied Energy,Elsevier,1599,Public policy,A,2,0306-2619,,
Australian Journal of International Affairs,Taylor & Francis Online,1599,Public policy,A,2,1035-7718,1465-332X,
Australian Journal of Political Science,Taylor & Francis Online,1599,Public policy,A,2,1036-1146,1363-030X,
British Journal of Political Science,Cambridge University Press,1599,Public policy,A,2,0007-1234,1469-2112,
Comparative Politics,City University of New York,1599,Public policy,A,2,0010-4159,2151-6227,
Disasters,Wiley-Blackwell Publishing,1599,Public policy,A,2,0361-3666,1467-7717,
Ecology,Wiley-Blackwell Publishing,1599,Public policy,A,2,0012-9658,1939-9170,
Energy Policy,Elsevier,1599,Public policy,A,2,0301-4215,1873-6777,
Environment and Planning D: Society and space,Sage Publications,1599,Public policy,A,2,0263-7758,1472-3433,
Environmental Education Research,Taylor & Francis Online,1599,Public policy,A,2,1350-4622,1469-5871,
European Journal of Political Research,Wiley-Blackwell Publishing,1599,Public policy,A,2,0304-4130,1475-6765,
International Affairs,"John Wiley & Sons, Inc.",1599,Public policy,A,2,0020-5850,1468-2346,http://www.wiley.com/bw/journal.asp?ref=0020-5850
International Journal of Disaster Risk Reduction,Elsevier,1599,Public policy,A,2,2212-4209,,
International Studies Quarterly,Wiley-Blackwell Publishing,1599,Public policy,A,2,0020-8833,1468-2478,
Land Use Policy,Elsevier,1599,Public policy,A,2,0264-8377,1873-5754,http://www.journals.elsevier.com/land-use-policy
Policy and Politics: an international journal,Policy Press,1599,Public policy,A,2,0305-5736,1470-8442,http://policypress.co.uk/journals/policy-and-politics
Political Communication,Taylor & Francis Online,1599,Public policy,A,2,1058-4609,1091-7675,
Political Science Quarterly,Academy of Political Science,1599,Public policy,A,2,,1538-165X,
Politics and Gender,Cambridge University Press,1599,Public policy,A,2,1743-923X,1743-9248,
Population and Environment,Springer International Publishing,1599,Public policy,A,2,0199-0039,1573-7810,http://www.springerlink.com/
Water Resources Research,Wiley-Blackwell Publishing,1599,Public policy,A,2,0043-1397,1944-7973,
World Politics,Cambridge University Press,1599,Public policy,A,2,0043-8871,1086-3338,http://journals.cambridge.org/action/displayJournal?jid=WPO
IEEE Transactions on Intelligent Transportation Systems,Institute of Electrical and Electronics Engineers,1507,Transportation,A,2,1524-9050,1558-0016,http://ieeexplore.ieee.org/
IEEE Transactions on Vehicular Technology,Institute of Electrical and Electronics Engineers,1507,Transportation,A,2,0018-9545,1939-9359,http://ieeexplore.ieee.org/
Journal of Advanced Transportation,Hindawi,1507,Transportation,A,2,0197-6729,2042-3195,
Journal of Safety Research,Elsevier,1507,Transportation,A,2,0022-4375,1879-1247,http://www.journals.elsevier.com/journal-of-safety-research
Journal of Transport Economics and Policy,Journal of Transport Economics and Policy,1507,Transportation,A,2,0022-5258,1754-5951,http://www.jtep.org/
Journal of Transport Geography,Elsevier,1507,Transportation,A,2,0966-6923,1873-1236,http://www.journals.elsevier.com/journal-of-transport-geography/
Transport Policy,Elsevier,1507,Transportation,A,2,0967-070X,1879-310X,
Transport Reviews,Taylor & Francis Online,1507,Transportation,A,2,0144-1647,1464-5327,http://www.tandfonline.com/ttrv
Transportation,Springer International Publishing,1507,Transportation,A,2,0049-4488,1572-9435,http://www.springerlink.com/
Transportation Research Part D: Transport and Environment,Elsevier,1507,Transportation,A,2,1361-9209,1879-2340,http://www.journals.elsevier.com/transportation-research-part-d-transport-and-environment
Transportation Research Part F: Traffic Psychology and Behaviour,Elsevier,1507,Transportation,A,2,1369-8478,1873-5517,
Transportation Science,The Institute for Operations Research and the Management Sciences (INFORMS),1507,Transportation,A,2,0041-1655,1526-5447,http://pubsonline.informs.org/journal/trsc
Asia Pacific Journal of Tourism Research,Taylor & Francis Online,1506,Hospitality and Tourism Management,A,2,1094-1665,1741-6507,
Current Issues in Tourism,Taylor & Francis Online,1506,Hospitality and Tourism Management,A,2,1368-3500,1747-7603,
Event Management,Cognizant Communication Corporation,1506,Hospitality and Tourism Management,A,2,1525-9951,1943-4308,
International Journal of Tourism Research,Wiley-Blackwell Publishing,1506,Hospitality and Tourism Management,A,2,1099-2340,1522-1970,
Journal of Destination Marketing & Management,Elsevier,1506,Hospitality and Tourism Management,A,2,2212-571X,2212-5752,
Journal of Hospitality and Tourism Management,Elsevier,1506,Hospitality and Tourism Management,A,2,1447-6770,1839-5260,
Journal of Hospitality and Tourism Research,Sage Publications,1506,Hospitality and Tourism Management,A,2,1096-3480,1557-7554,
Journal of Travel & Tourism Marketing,Taylor & Francis Online,1506,Hospitality and Tourism Management,A,2,1054-8408,1540-7306,
Journal of Vacation Marketing,Sage Publications,1506,Hospitality and Tourism Management,A,2,1356-7667,1479-1870,http://jvm.sagepub.com/
Scandinavian Journal of Hospitality and Tourism,Taylor & Francis Online,1506,Hospitality and Tourism Management,A,2,1502-2250,1502-2269,
Tourism Analysis,Cognizant Communication Corporation,1506,Hospitality and Tourism Management,A,2,1083-5423,1943-3999,https://www.cognizantcommunication.com/journal-titles/tourism-analysis
Tourism Economics,Sage Publications,1506,Hospitality and Tourism Management,A,2,1354-8166,2044-0375,
Tourism Geographies,Taylor & Francis Online,1506,Hospitality and Tourism Management,A,2,1461-6688,1470-1340,http://www.tandfonline.com/rtxg
Tourism Management Perspectives,Elsevier,1506,Hospitality and Tourism Management,A,2,2211-9736,,
Tourism Recreation Research,Taylor & Francis Online,1506,Hospitality and Tourism Management,A,2,0250-8281,2320-0308,http://www.tandfonline.com/rtrr
Visitor Studies,Taylor & Francis Online,1506,Hospitality and Tourism Management,A,2,1064-5578,1934-7715,
Appetite,Elsevier,1505,Marketing,A,2,0195-6663,1095-8304,
Asia Pacific Journal of Marketing and Logistics,Emerald Group Publishing,1505,Marketing,A,2,1355-5855,1758-4248,
Australasian Marketing Journal,Elsevier,1505,Marketing,A,2,1441-3582,1839-3349,
